example_id,rate,method,doc_token_index,relative_position,position_bin,token_id,token_text_repr,token_category,selected_times,n_queries
0,0.3,global_top,206,0.17606837606837608,10-20%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,211,0.18034188034188034,10-20%,279,' the',latin_word,34,34
0,0.3,global_top,217,0.18547008547008548,10-20%,624,'.\n',punct_or_symbol,34,34
0,0.3,global_top,243,0.2076923076923077,20-30%,323,' and',latin_word,34,34
0,0.3,global_top,248,0.21196581196581196,20-30%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,249,0.2128205128205128,20-30%,576,' The',latin_word,34,34
0,0.3,global_top,253,0.21623931623931625,20-30%,279,' the',latin_word,34,34
0,0.3,global_top,260,0.2222222222222222,20-30%,323,' and',latin_word,34,34
0,0.3,global_top,264,0.22564102564102564,20-30%,279,' the',latin_word,34,34
0,0.3,global_top,279,0.23846153846153847,20-30%,3263,"'"".'",punct_or_symbol,34,34
0,0.3,global_top,283,0.24188034188034188,20-30%,279,' the',latin_word,34,34
0,0.3,global_top,292,0.24957264957264957,20-30%,323,' and',latin_word,34,34
0,0.3,global_top,295,0.25213675213675213,20-30%,279,' the',latin_word,34,34
0,0.3,global_top,307,0.2623931623931624,20-30%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,315,0.2692307692307692,20-30%,624,'.\n',punct_or_symbol,34,34
0,0.3,global_top,349,0.2982905982905983,20-30%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,355,0.3034188034188034,30-40%,279,' the',latin_word,34,34
0,0.3,global_top,363,0.31025641025641026,30-40%,279,' the',latin_word,34,34
0,0.3,global_top,367,0.31367521367521367,30-40%,624,'.\n',punct_or_symbol,34,34
0,0.3,global_top,378,0.3230769230769231,30-40%,11,"','",punct_or_symbol,34,34
0,0.3,global_top,382,0.3264957264957265,30-40%,279,' the',latin_word,34,34
0,0.3,global_top,404,0.3452991452991453,30-40%,279,' the',latin_word,34,34
0,0.3,global_top,423,0.36153846153846153,30-40%,279,' the',latin_word,34,34
0,0.3,global_top,431,0.3683760683760684,30-40%,279,' the',latin_word,34,34
0,0.3,global_top,433,0.3700854700854701,30-40%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,440,0.37606837606837606,30-40%,323,' and',latin_word,34,34
0,0.3,global_top,441,0.3769230769230769,30-40%,279,' the',latin_word,34,34
0,0.3,global_top,449,0.3837606837606838,30-40%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,456,0.38974358974358975,30-40%,279,' the',latin_word,34,34
0,0.3,global_top,472,0.40341880341880343,40-50%,279,' the',latin_word,34,34
0,0.3,global_top,492,0.4205128205128205,40-50%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,507,0.43333333333333335,40-50%,11,"','",punct_or_symbol,34,34
0,0.3,global_top,526,0.4495726495726496,40-50%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,529,0.45213675213675214,40-50%,11,"','",punct_or_symbol,34,34
0,0.3,global_top,537,0.45897435897435895,40-50%,11,"','",punct_or_symbol,34,34
0,0.3,global_top,542,0.46324786324786327,40-50%,279,' the',latin_word,34,34
0,0.3,global_top,550,0.4700854700854701,40-50%,11,"','",punct_or_symbol,34,34
0,0.3,global_top,552,0.4717948717948718,40-50%,279,' the',latin_word,34,34
0,0.3,global_top,560,0.47863247863247865,40-50%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,566,0.48376068376068376,40-50%,279,' the',latin_word,34,34
0,0.3,global_top,573,0.4897435897435897,40-50%,11,"','",punct_or_symbol,34,34
0,0.3,global_top,581,0.4965811965811966,40-50%,624,'.\n',punct_or_symbol,34,34
0,0.3,global_top,583,0.4982905982905983,40-50%,25,':',punct_or_symbol,34,34
0,0.3,global_top,599,0.5119658119658119,50-60%,279,' the',latin_word,34,34
0,0.3,global_top,601,0.5136752136752136,50-60%,315,' of',latin_word,34,34
0,0.3,global_top,630,0.5384615384615384,50-60%,11,"','",punct_or_symbol,34,34
0,0.3,global_top,632,0.5401709401709401,50-60%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,634,0.5418803418803418,50-60%,220,' ',space,34,34
0,0.3,global_top,639,0.5461538461538461,50-60%,279,' the',latin_word,34,34
0,0.3,global_top,652,0.5572649572649573,50-60%,30243,' reforms',latin_word,34,34
0,0.3,global_top,657,0.5615384615384615,50-60%,279,' the',latin_word,34,34
