selector,rate,example_id,sub_question_id,context_len,system_len,doc_len,query_len,selected_tokens,query_system,query_system_last_layer,query_selected_doc,query_selected_doc_last_layer,query_unselected_doc,query_unselected_doc_last_layer,query_query_or_current,query_query_or_current_last_layer,query_doc_total,query_doc_total_last_layer,query_system_first16,query_system_first16_last_layer,query_main_sum,decode_system,decode_system_last_layer,decode_selected_doc,decode_selected_doc_last_layer,decode_unselected_doc,decode_unselected_doc_last_layer,decode_query_or_current,decode_query_or_current_last_layer,decode_doc_total,decode_doc_total_last_layer,decode_system_first16,decode_system_first16_last_layer,decode_main_sum
draft,0.15,9,0,2790,792,1998,20,299,0.4466699663473636,0.14643633706229073,0.14288524072997424,0.1291506631033761,0.11677701905065652,0.17951502118791854,0.293667780623144,0.5448980058942522,0.25966225351606104,0.30866565704345705,0.30837001334495684,0.08759681156703404,1.0000000067511383,0.3202562280455415,0.17115061623709543,0.13615386537751376,0.09767672845295497,0.1391201598607764,0.22246817180088588,0.404469754622907,0.508704492024013,0.27527402523829014,0.32014492579868864,0.25011653853675386,0.09055173397064209,1.0000000079067388
draft,0.15,9,1,3514,792,2722,28,408,0.39051170321317175,0.13005519399837573,0.17345711753945306,0.13611420806573363,0.11879814383587407,0.16384998632937062,0.3172330366279224,0.5699806213378906,0.2922552636343953,0.29996418466373365,0.28580507749023665,0.08953971278910734,1.0000000012164212,0.3167701587080955,0.04109118240220206,0.18802221423509166,0.34784466879708426,0.10257667987322323,0.2240232229232788,0.3926309517451695,0.38704095567975727,0.29059888635362896,0.5718678065708706,0.256784362395351,0.03796053784234183,1.00000000456158
draft,0.15,10,0,2297,792,1505,20,225,0.46818574156079984,0.1149810791015625,0.14999932002048103,0.1435950687953404,0.10729973328356839,0.13626180376325334,0.2745152047702244,0.6051620483398438,0.2572990543988286,0.27985687255859376,0.31002496953825565,0.060964557102748326,0.9999999996350736,0.3649730302241383,0.18301779883248465,0.16546770443721695,0.22122349057878768,0.09471459603127168,0.2602874551500593,0.37484467759424317,0.3354712554386684,0.2601823000883569,0.48151091166904997,0.27063733270886,0.1340222614152091,1.00000000828687
draft,0.15,10,1,2530,792,1738,19,260,0.44963122438539377,0.13063318926588932,0.17057907722178128,0.17352753832824247,0.10605791175916039,0.18990650033592282,0.2737317927797935,0.5059327433880111,0.27663698872485293,0.3634340386641653,0.2990471164502852,0.083093944348787,1.000000006146129,0.3766499374594006,0.30235981941223145,0.16854515671730042,0.1491196836744036,0.09754997145916734,0.2556852953774588,0.35725493789935603,0.2928352015359061,0.26609512676998054,0.40480497905186247,0.2774552259337614,0.25995683670043945,1.0000000035352243
draft,0.15,11,0,2022,792,1230,22,184,0.44215096657705205,0.1453516080782011,0.1497845240559339,0.14971854469992898,0.11522876044151291,0.19051948151031098,0.29283574494448583,0.5144103409407975,0.26501328648795436,0.3402380509810014,0.302109046526433,0.079964575829444,0.9999999960189846,0.3797928392887115,0.46225970132010324,0.147330250667066,0.14357577051435197,0.10424058869176984,0.15960374900272914,0.3686363240894006,0.23456077916281565,0.2515708396629412,0.3031795024871826,0.27601536846605634,0.4008980819157192,1.000000002736948
draft,0.15,11,1,1997,792,1205,21,180,0.4385205515387918,0.15428706577845983,0.18958125285898397,0.19345966001757148,0.09180446164601053,0.11499173949364902,0.28009372526748993,0.5372614957848374,0.2813857118404525,0.30845138653605975,0.2903318212985761,0.08557082844429276,0.9999999913112763,0.36587406968583863,0.19335382325308664,0.19316656492194356,0.20227152960641043,0.08341920223771311,0.3420659133366176,0.35754015737650346,0.2623087338038853,0.2765857653350246,0.544337442943028,0.26866498568608443,0.07899395908628191,0.9999999942219988
draft,0.15,12,0,2803,792,2011,27,301,0.4195220281207373,0.11693702172980737,0.1466479269014735,0.12413863530234685,0.11984431157937488,0.14569299687784185,0.3139857308754665,0.6132313158146288,0.26649224208505967,0.2698316422719804,0.28795694671880995,0.060845879650620556,0.9999999974770521,0.379191382503023,0.11278069870812553,0.1473057794631744,0.3684492792401995,0.08507306372024574,0.07940816879272461,0.38842977492176756,0.4393618788037981,0.2323788428793148,0.4478574480329241,0.2728973236125039,0.08056349413735527,1.0000000006082106
draft,0.15,12,1,2893,792,2101,25,315,0.41088765319512816,0.08417408534458705,0.17966162681579595,0.14541754586356026,0.11092858976247358,0.10472472054617746,0.2985221319782491,0.6656836809430804,0.29059021618901465,0.25014225551060265,0.28809843934312157,0.039615723746163505,1.0000000017516468,0.35686565783559054,0.07535585335322789,0.18126929551362989,0.23486496720995223,0.07516261387844476,0.0929093871797834,0.3867024268422808,0.5968697411673409,0.25643190771949537,0.3277743543897356,0.2760032865370871,0.007554949394294194,0.999999994069946
draft,0.15,13,0,1934,792,1142,16,171,0.49469923973083507,0.1726382119315011,0.10801296377060363,0.10430146115166801,0.1252067064752384,0.2165393829345703,0.2720810894151124,0.5065209524972099,0.23321966887736814,0.32084083557128906,0.31569691334984135,0.09077807835170201,0.9999999993917896,0.33946590946645155,0.07432241099221366,0.11977023000315744,0.22479118619646346,0.11898041402502936,0.30995430265154156,0.421783454564153,0.3909320831298828,0.23875064053097553,0.5347455229078021,0.25208419423588385,0.03998398780822754,1.0000000080587914
draft,0.15,13,1,2875,792,2083,20,312,0.40687835265179073,0.0767115388597761,0.157557395526341,0.14955545152936664,0.12945066374175404,0.16686417715890067,0.30611359367565233,0.6068688528878349,0.28700805732182094,0.31641965593610494,0.2831610503017294,0.042416075297764366,1.000000005595538,0.32745737609986125,1.416381460980379e-05,0.17002337714847254,0.09578177758625575,0.10822355941090048,0.012010760605335236,0.3942956948766905,0.892193249293736,0.2782469327960696,0.10779253925595965,0.2555635468025402,7.301259107147676e-07,1.0000000075359248
