example,source,kind,layer,rank,original_gap,delta_recovery_error,final_kv_error,explained_variance
66,preprocess,k,48,4,0.715144469453853,0.8136575853647124,0.5818827222027504,0.33796133377846566
66,preprocess,k,48,8,0.715144469453853,0.7427545534082485,0.5311768110315753,0.4483156733913134
66,preprocess,k,48,16,0.715144469453853,0.6618794051672954,0.4733393960507972,0.5619156530153873
66,preprocess,k,48,32,0.715144469453853,0.5729521662809924,0.40974357297745606,0.671725815153918
66,preprocess,k,48,64,0.715144469453853,0.4907135228930208,0.3509310619831605,0.7592002384499208
66,preprocess,k,49,4,0.4528508886694638,0.8192986489788077,0.37102012127574413,0.3287497237815004
66,preprocess,k,49,8,0.4528508886694638,0.7607880193754355,0.3445235306632472,0.42120158957480197
66,preprocess,k,49,16,0.4528508886694638,0.6911338980025471,0.312980599900044,0.5223339350318047
66,preprocess,k,49,32,0.4528508886694638,0.6134816271654017,0.27781570004424083,0.6236402931304911
66,preprocess,k,49,64,0.4528508886694638,0.5390528837911686,0.24411057746466788,0.7094219884764249
66,preprocess,k,50,4,0.6882609625814686,0.8415047662712437,0.57917488045074,0.29186972834277963
66,preprocess,k,50,8,0.6882609625814686,0.7793448062801844,0.5363926065532679,0.3926216729241019
66,preprocess,k,50,16,0.6882609625814686,0.7051920537741583,0.485356161735405,0.5027041672937846
66,preprocess,k,50,32,0.6882609625814686,0.6243026250871782,0.429683125684639,0.6102462323092582
66,preprocess,k,50,64,0.6882609625814686,0.546684204255364,0.37626139664888103,0.7011363808176795
66,preprocess,k,51,4,0.5667301157850945,0.8498144512807547,0.4816154423701886,0.2778153983943899
66,preprocess,k,51,8,0.5667301157850945,0.7923722798551783,0.44906123390722447,0.3721461701171069
66,preprocess,k,51,16,0.5667301157850945,0.721157933599717,0.40870191920830706,0.47993123480618616
66,preprocess,k,51,32,0.5667301157850945,0.6477148566838608,0.36707951572417025,0.5804654644310057
66,preprocess,k,51,64,0.5667301157850945,0.574103293415114,0.3253616259497516,0.6704054084899195
66,preprocess,k,52,4,0.6619843365389383,0.8289000499871491,0.5487188496478357,0.31292470713130177
66,preprocess,k,52,8,0.6619843365389383,0.7606043265743786,0.503508150495986,0.42148105839633593
66,preprocess,k,52,16,0.6619843365389383,0.6782103425866772,0.4489646236710875,0.540030731208462
66,preprocess,k,52,32,0.6619843365389383,0.5928960638675463,0.3924879074759057,0.6484742574503704
66,preprocess,k,52,64,0.6619843365389383,0.5106688729355082,0.33805479504129976,0.7392173022147778
66,preprocess,k,53,4,0.6495656786212028,0.8537575156220576,0.5545715800129941,0.2710981045188521
66,preprocess,k,53,8,0.6495656786212028,0.7970750083493434,0.5177525687104422,0.36467143106489425
66,preprocess,k,53,16,0.6495656786212028,0.7258723048588152,0.47150173629795294,0.47310939703895133
66,preprocess,k,53,32,0.6495656786212028,0.6513098354400332,0.4230685152502691,0.5757954982590769
66,preprocess,k,53,64,0.6495656786212028,0.577627945002904,0.37520728808638226,0.6663459571517221
66,preprocess,k,54,4,0.5498842745069635,0.8725878208593227,0.47982232081684095,0.23859049488797854
66,preprocess,k,54,8,0.5498842745069635,0.820222074760053,0.4510272205140282,0.32723574807631395
66,preprocess,k,54,16,0.5498842745069635,0.7534780436660152,0.414325727398213,0.43227083771323443
66,preprocess,k,54,32,0.5498842745069635,0.6860249689657898,0.3772343423534155,0.529369741955487
66,preprocess,k,54,64,0.5498842745069635,0.6146544246137758,0.3379888023512413,0.6221999383027081
66,preprocess,k,55,4,0.5623020284393003,0.8736472918374255,0.49125364434068575,0.2367404094651322
