example_id,rate,freq_threshold,token_category,token_count,token_ratio_in_stable,doc_len,stable_count
15,0.15,1.0,position_80-90%,20,0.11363636363636363,1551,176
15,0.15,1.0,position_90-100%,128,0.7272727272727273,1551,176
16,0.15,1.0,latin_word,155,0.6768558951965066,2162,229
16,0.15,1.0,number,9,0.039301310043668124,2162,229
16,0.15,1.0,punct_or_symbol,61,0.2663755458515284,2162,229
16,0.15,1.0,space,4,0.017467248908296942,2162,229
16,0.15,1.0,position_00-10%,1,0.004366812227074236,2162,229
16,0.15,1.0,position_10-20%,1,0.004366812227074236,2162,229
16,0.15,1.0,position_20-30%,1,0.004366812227074236,2162,229
16,0.15,1.0,position_40-50%,2,0.008733624454148471,2162,229
16,0.15,1.0,position_50-60%,6,0.026200873362445413,2162,229
16,0.15,1.0,position_60-70%,11,0.048034934497816595,2162,229
16,0.15,1.0,position_70-80%,17,0.07423580786026202,2162,229
16,0.15,1.0,position_80-90%,32,0.13973799126637554,2162,229
16,0.15,1.0,position_90-100%,158,0.6899563318777293,2162,229
17,0.15,1.0,latin_word,108,0.48214285714285715,2098,224
17,0.15,1.0,number,41,0.18303571428571427,2098,224
17,0.15,1.0,other_text,3,0.013392857142857142,2098,224
17,0.15,1.0,punct_or_symbol,67,0.29910714285714285,2098,224
17,0.15,1.0,space,5,0.022321428571428572,2098,224
17,0.15,1.0,position_20-30%,2,0.008928571428571428,2098,224
17,0.15,1.0,position_50-60%,5,0.022321428571428572,2098,224
17,0.15,1.0,position_60-70%,12,0.05357142857142857,2098,224
17,0.15,1.0,position_70-80%,20,0.08928571428571429,2098,224
17,0.15,1.0,position_80-90%,36,0.16071428571428573,2098,224
17,0.15,1.0,position_90-100%,149,0.6651785714285714,2098,224
18,0.15,1.0,latin_word,99,0.5823529411764706,1546,170
18,0.15,1.0,number,13,0.07647058823529412,1546,170
18,0.15,1.0,other_text,1,0.0058823529411764705,1546,170
18,0.15,1.0,punct_or_symbol,51,0.3,1546,170
18,0.15,1.0,space,6,0.03529411764705882,1546,170
18,0.15,1.0,position_00-10%,1,0.0058823529411764705,1546,170
18,0.15,1.0,position_10-20%,2,0.011764705882352941,1546,170
18,0.15,1.0,position_30-40%,2,0.011764705882352941,1546,170
18,0.15,1.0,position_40-50%,2,0.011764705882352941,1546,170
18,0.15,1.0,position_50-60%,2,0.011764705882352941,1546,170
18,0.15,1.0,position_60-70%,4,0.023529411764705882,1546,170
18,0.15,1.0,position_70-80%,17,0.1,1546,170
18,0.15,1.0,position_80-90%,22,0.12941176470588237,1546,170
18,0.15,1.0,position_90-100%,118,0.6941176470588235,1546,170
19,0.15,1.0,latin_word,67,0.3059360730593607,2150,219
19,0.15,1.0,number,51,0.2328767123287671,2150,219
19,0.15,1.0,punct_or_symbol,75,0.3424657534246575,2150,219
19,0.15,1.0,space,26,0.1187214611872146,2150,219
19,0.15,1.0,position_00-10%,1,0.0045662100456621,2150,219
19,0.15,1.0,position_10-20%,1,0.0045662100456621,2150,219
19,0.15,1.0,position_20-30%,1,0.0045662100456621,2150,219
19,0.15,1.0,position_30-40%,1,0.0045662100456621,2150,219
19,0.15,1.0,position_50-60%,9,0.0410958904109589,2150,219
19,0.15,1.0,position_60-70%,3,0.0136986301369863,2150,219
19,0.15,1.0,position_70-80%,30,0.136986301369863,2150,219
19,0.15,1.0,position_80-90%,33,0.1506849315068493,2150,219
19,0.15,1.0,position_90-100%,140,0.639269406392694,2150,219
