example_id,main_idx,sub_idx,doc_len,selected_count,rank,rank_pct,position,doc_position,importance_score,key_token_rel_delta,value_token_rel_delta,value_over_key_delta
1,0,0,2105,196,107,0.5433673469387755,952,160,10.3125,0.1568198949098587,0.3069665729999542,1.9574466184564372
1,0,0,2105,196,108,0.548469387755102,1032,240,10.125,0.16274720430374146,0.5761383771896362,3.5400815617749513
1,0,0,2105,196,109,0.5535714285714286,1178,386,10.125,0.18380104005336761,1.2513492107391357,6.808172632586799
1,0,0,2105,196,110,0.5586734693877551,1141,349,10.0,0.17238810658454895,1.391175627708435,8.070020926983458
1,0,0,2105,196,111,0.5637755102040817,1804,1012,10.0,0.16404010355472565,0.8185647130012512,4.990028019112891
1,0,0,2105,196,112,0.5688775510204082,1892,1100,10.0,0.16782379150390625,0.18852993845939636,1.123380283384223
1,0,0,2105,196,113,0.5739795918367347,954,162,9.9375,0.16804160177707672,1.0728076696395874,6.384179026431712
1,0,0,2105,196,114,0.5790816326530612,1031,239,9.9375,0.16713912785053253,0.5717315673828125,3.4206925376006154
1,0,0,2105,196,115,0.5841836734693877,1114,322,9.8125,0.1715831309556961,0.32685282826423645,1.9049240239515566
1,0,0,2105,196,116,0.5892857142857143,1021,229,9.75,0.1673981249332428,0.44315558671951294,2.647315117141204
1,0,0,2105,196,117,0.5943877551020408,937,145,9.6875,0.16819868981838226,0.6376404762268066,3.7909955000929414
1,0,0,2105,196,118,0.5994897959183674,1140,348,9.625,0.17888610064983368,0.755123496055603,4.221253039270628
1,0,0,2105,196,119,0.6045918367346939,1886,1094,9.625,0.16577717661857605,0.5384488701820374,3.2480277512366187
1,0,0,2105,196,120,0.6096938775510204,1163,371,9.5625,0.17471429705619812,0.4063131809234619,2.32558633018134
1,0,0,2105,196,121,0.6147959183673469,1379,587,9.5625,0.16858543455600739,0.8017557263374329,4.755782896928252
1,0,0,2105,196,122,0.6198979591836735,1968,1176,9.5625,0.16152939200401306,0.9029597043991089,5.590064403703603
1,0,0,2105,196,123,0.625,1113,321,9.5,0.17214202880859375,0.27031853795051575,1.570322714445959
1,0,0,2105,196,124,0.6301020408163265,865,73,9.375,0.1618577241897583,0.6867872476577759,4.243153986573782
1,0,0,2105,196,125,0.6352040816326531,1394,602,9.375,0.18713003396987915,0.45610126852989197,2.4373493599689597
1,0,0,2105,196,126,0.6403061224489796,2036,1244,9.375,0.18595147132873535,0.8782122135162354,4.72280325203214
1,0,0,2105,196,127,0.6454081632653061,1512,720,9.3125,0.17381441593170166,0.5314947962760925,3.0578291991722906
1,0,0,2105,196,128,0.6505102040816326,1966,1174,9.3125,0.16117537021636963,0.37771034240722656,2.3434743279809216
1,0,0,2105,196,129,0.6556122448979592,1972,1180,9.1875,0.16945554316043854,0.5906702876091003,3.4856946936600055
1,0,0,2105,196,130,0.6607142857142857,846,54,9.0625,0.14036552608013153,0.38661161065101624,2.7543202483176246
1,0,0,2105,196,131,0.6658163265306123,957,165,9.0625,0.1584988385438919,0.28316041827201843,1.786514152858088
1,0,0,2105,196,132,0.6709183673469388,2017,1225,9.0625,0.16704709827899933,0.3850255608558655,2.304892241890351
1,0,0,2105,196,133,0.6760204081632653,961,169,9.0,0.16215568780899048,0.47419625520706177,2.924326994700992
1,0,0,2105,196,134,0.6811224489795918,1121,329,9.0,0.1725572794675827,0.2610497772693634,1.5128296996412278
1,0,0,2105,196,135,0.6862244897959183,1107,315,8.9375,0.17172859609127045,1.3440390825271606,7.826530427145652
1,0,0,2105,196,136,0.6913265306122449,1125,333,8.9375,0.18714232742786407,1.200415015220642,6.414449535351322
1,0,0,2105,196,137,0.6964285714285714,1884,1092,8.9375,0.1622043251991272,0.4746108949184418,2.926006407861617
1,0,0,2105,196,138,0.701530612244898,1988,1196,8.9375,0.17982909083366394,0.6146284341812134,3.417847642605872
1,0,0,2105,196,139,0.7066326530612245,949,157,8.8125,0.1709652990102768,1.2133021354675293,7.096774272231118
1,0,0,2105,196,140,0.7117346938775511,1130,338,8.6875,0.18013650178909302,0.6025808453559875,3.3451346027478355
1,0,0,2105,196,141,0.7168367346938775,1895,1103,8.6875,0.16525302827358246,0.6143573522567749,3.717676817613085
1,0,0,2105,196,142,0.7219387755102041,1030,238,8.5625,0.17462517321109772,1.0550518035888672,6.0418082008566625
