example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
138,0,104,207,207,103,103,152,0.5801526717557252,0.7342995169082126,48,0.3037974683544304,0.46601941747572817
138,1,295,420,420,125,125,350,0.7142857142857143,0.8333333333333334,55,0.28205128205128205,0.44
141,0,87,166,166,79,79,128,0.6274509803921569,0.7710843373493976,41,0.3504273504273504,0.5189873417721519
141,1,214,315,315,101,101,266,0.7307692307692307,0.8444444444444444,52,0.3466666666666667,0.5148514851485149
142,0,123,243,243,120,120,186,0.62,0.7654320987654321,63,0.3559322033898305,0.525
142,1,238,396,396,158,158,325,0.69593147751606,0.8207070707070707,87,0.3799126637554585,0.5506329113924051
143,0,87,177,177,90,90,138,0.6388888888888888,0.7796610169491526,51,0.3953488372093023,0.5666666666666667
143,1,161,246,246,85,85,200,0.684931506849315,0.8130081300813008,39,0.29770992366412213,0.4588235294117647
144,0,69,151,151,82,82,113,0.5978835978835979,0.7483443708609272,44,0.36666666666666664,0.5365853658536586
144,1,155,249,249,94,94,210,0.7291666666666666,0.8433734939759037,55,0.41353383458646614,0.5851063829787234
145,0,86,165,165,79,79,130,0.65,0.7878787878787878,44,0.38596491228070173,0.5569620253164557
145,1,165,264,264,99,99,217,0.6977491961414791,0.821969696969697,52,0.3561643835616438,0.5252525252525253
146,0,100,177,177,77,77,140,0.6542056074766355,0.7909604519774012,40,0.3508771929824561,0.5194805194805194
146,1,196,312,312,116,116,249,0.664,0.7980769230769231,53,0.29608938547486036,0.45689655172413796
147,0,98,171,171,73,73,142,0.71,0.8304093567251462,44,0.43137254901960786,0.6027397260273972
147,1,216,352,352,136,136,258,0.57847533632287,0.7329545454545454,42,0.1826086956521739,0.3088235294117647
149,0,164,285,285,121,121,230,0.6764705882352942,0.8070175438596491,66,0.375,0.5454545454545454
150,0,48,127,127,79,79,98,0.6282051282051282,0.7716535433070866,50,0.46296296296296297,0.6329113924050633
150,1,230,344,344,114,114,282,0.6945812807881774,0.8197674418604651,52,0.29545454545454547,0.45614035087719296
151,0,89,163,163,74,74,135,0.7068062827225131,0.8282208588957055,46,0.45098039215686275,0.6216216216216216
151,1,166,258,258,92,92,204,0.6538461538461539,0.7906976744186046,38,0.2602739726027397,0.41304347826086957
152,0,104,222,222,118,118,167,0.6028880866425993,0.7522522522522522,63,0.36416184971098264,0.5338983050847458
152,1,229,345,345,116,116,288,0.7164179104477612,0.8347826086956521,59,0.34104046242774566,0.5086206896551724
153,0,155,250,250,95,95,201,0.6722408026755853,0.804,46,0.3194444444444444,0.4842105263157895
154,0,176,278,278,102,102,218,0.6449704142011834,0.7841726618705036,42,0.25925925925925924,0.4117647058823529
155,0,106,204,204,98,98,157,0.6254980079681275,0.7696078431372549,51,0.35172413793103446,0.5204081632653061
155,1,204,306,306,102,102,249,0.6859504132231405,0.8137254901960784,45,0.2830188679245283,0.4411764705882353
156,0,114,192,192,78,78,157,0.6916299559471366,0.8177083333333334,43,0.3805309734513274,0.5512820512820513
156,1,188,290,290,102,102,233,0.6714697406340058,0.803448275862069,45,0.2830188679245283,0.4411764705882353
158,0,78,177,177,99,99,132,0.5945945945945946,0.7457627118644068,54,0.375,0.5454545454545454
158,1,182,266,266,84,84,222,0.7161290322580646,0.8345864661654135,40,0.3125,0.47619047619047616
