example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
58,1,179,267,267,88,88,233,0.7740863787375415,0.8726591760299626,54,0.4426229508196721,0.6136363636363636
59,0,65,156,156,91,91,117,0.6,0.75,52,0.4,0.5714285714285714
59,1,192,291,291,99,99,258,0.7962962962962963,0.8865979381443299,66,0.5,0.6666666666666666
60,0,120,213,213,93,93,159,0.5955056179775281,0.7464788732394366,39,0.2653061224489796,0.41935483870967744
60,1,189,320,320,131,131,243,0.6120906801007556,0.759375,54,0.25961538461538464,0.4122137404580153
63,0,99,199,199,100,100,139,0.5366795366795367,0.6984924623115578,40,0.25,0.4
63,1,162,232,232,70,70,212,0.8412698412698413,0.9137931034482759,50,0.5555555555555556,0.7142857142857143
64,0,71,147,147,76,76,117,0.6610169491525424,0.7959183673469388,46,0.4339622641509434,0.6052631578947368
64,1,175,260,260,85,85,228,0.7808219178082192,0.8769230769230769,53,0.452991452991453,0.6235294117647059
66,0,141,254,254,113,113,195,0.6230031948881789,0.7677165354330708,54,0.313953488372093,0.4778761061946903
68,0,82,158,158,76,76,116,0.58,0.7341772151898734,34,0.288135593220339,0.4473684210526316
68,1,139,220,220,81,81,191,0.7670682730923695,0.8681818181818182,52,0.4727272727272727,0.6419753086419753
71,0,79,189,189,110,110,118,0.45384615384615384,0.6243386243386243,39,0.2154696132596685,0.35454545454545455
71,1,283,439,439,156,156,354,0.6755725190839694,0.806378132118451,71,0.2946058091286307,0.4551282051282051
72,0,97,202,202,105,105,131,0.47985347985347987,0.6485148514851485,34,0.19318181818181818,0.3238095238095238
72,1,216,306,306,90,90,269,0.7842565597667639,0.8790849673202614,53,0.41732283464566927,0.5888888888888889
74,0,79,169,169,90,90,115,0.515695067264574,0.6804733727810651,36,0.25,0.4
74,1,188,292,292,104,104,226,0.6312849162011173,0.773972602739726,38,0.2235294117647059,0.36538461538461536
75,0,169,287,287,118,118,247,0.7553516819571865,0.8606271777003485,78,0.4936708860759494,0.6610169491525424
77,0,164,289,289,125,125,209,0.5663956639566395,0.7231833910034602,45,0.21951219512195122,0.36
77,1,221,367,367,146,146,283,0.6274944567627494,0.771117166212534,62,0.26956521739130435,0.4246575342465753
78,0,114,185,185,71,71,149,0.6742081447963801,0.8054054054054054,35,0.32710280373831774,0.49295774647887325
78,1,130,246,246,116,116,183,0.5922330097087378,0.7439024390243902,53,0.29608938547486036,0.45689655172413796
79,0,112,207,207,95,95,158,0.6171875,0.7632850241545893,46,0.3194444444444444,0.4842105263157895
79,1,68,184,184,116,116,132,0.559322033898305,0.717391304347826,64,0.38095238095238093,0.5517241379310345
79,2,213,319,319,106,106,281,0.7871148459383753,0.8808777429467085,68,0.4722222222222222,0.6415094339622641
80,0,148,241,241,93,93,191,0.6563573883161512,0.7925311203319502,43,0.3006993006993007,0.46236559139784944
81,0,93,193,193,100,100,138,0.5564516129032258,0.7150259067357513,45,0.2903225806451613,0.45
81,1,216,328,328,112,112,270,0.6994818652849741,0.823170731707317,54,0.3176470588235294,0.48214285714285715
82,0,89,186,186,97,97,148,0.6607142857142857,0.7956989247311828,59,0.43703703703703706,0.6082474226804123
82,1,153,272,272,119,119,220,0.6790123456790124,0.8088235294117647,67,0.391812865497076,0.5630252100840336
84,0,94,189,189,95,95,137,0.5684647302904564,0.7248677248677249,43,0.2925170068027211,0.45263157894736844
84,1,180,269,269,89,89,233,0.7639344262295082,0.8661710037174721,53,0.424,0.5955056179775281
85,0,201,339,339,138,138,267,0.6496350364963503,0.7876106194690266,66,0.3142857142857143,0.4782608695652174
86,0,96,168,168,72,72,141,0.7230769230769231,0.8392857142857143,45,0.45454545454545453,0.625
86,1,194,297,297,103,103,243,0.6923076923076923,0.8181818181818182,49,0.31210191082802546,0.47572815533980584
88,0,101,199,199,98,98,151,0.611336032388664,0.7587939698492462,50,0.3424657534246575,0.5102040816326531
88,1,56,145,145,89,89,114,0.6477272727272727,0.7862068965517242,58,0.48333333333333334,0.651685393258427
88,2,182,267,267,85,85,236,0.7919463087248322,0.8838951310861424,54,0.46551724137931033,0.6352941176470588
89,0,102,196,196,94,94,148,0.6065573770491803,0.7551020408163265,46,0.323943661971831,0.48936170212765956
89,1,233,342,342,109,109,291,0.7404580152671756,0.8508771929824561,58,0.3625,0.5321100917431193
90,0,52,160,160,108,108,95,0.4222222222222222,0.59375,43,0.24855491329479767,0.39814814814814814
90,1,187,278,278,91,91,232,0.7160493827160493,0.8345323741007195,45,0.3284671532846715,0.4945054945054945
90,2,225,357,357,132,132,296,0.7081339712918661,0.8291316526610645,71,0.36787564766839376,0.5378787878787878
91,0,92,171,171,79,79,140,0.693069306930693,0.8187134502923976,48,0.43636363636363634,0.6075949367088608
91,1,233,341,341,108,108,288,0.7309644670050761,0.844574780058651,55,0.3416149068322981,0.5092592592592593
93,0,98,196,196,98,98,158,0.6752136752136753,0.8061224489795918,60,0.4411764705882353,0.6122448979591837
93,1,196,299,299,103,103,248,0.7085714285714285,0.8294314381270903,52,0.33766233766233766,0.5048543689320388
95,0,107,186,186,79,79,144,0.631578947368421,0.7741935483870968,37,0.30578512396694213,0.46835443037974683
96,0,100,182,182,82,82,140,0.625,0.7692307692307693,40,0.3225806451612903,0.4878048780487805
96,1,176,265,265,89,89,233,0.7845117845117845,0.879245283018868,57,0.47107438016528924,0.6404494382022472
97,0,71,160,160,89,89,115,0.5609756097560976,0.71875,44,0.3283582089552239,0.4943820224719101
