example_id,chunk_id,method,rate,chunk_len,selected_count
9,1,offline32b_top2_mean_global,0.05,180,16
9,2,offline32b_top2_mean_global,0.05,531,25
9,3,offline32b_top2_mean_global,0.05,967,26
9,4,offline32b_top2_mean_global,0.05,388,29
9,5,offline32b_top2_mean_global,0.05,961,32
9,6,offline32b_top2_mean_global,0.05,1170,36
9,7,offline32b_top2_mean_global,0.05,106,15
9,8,offline32b_top2_mean_global,0.05,923,31
9,9,offline32b_top2_mean_global,0.05,884,51
9,0,offline32b_freq_boundary0p02_global,0.05,453,45
9,1,offline32b_freq_boundary0p02_global,0.05,180,25
9,2,offline32b_freq_boundary0p02_global,0.05,531,30
9,3,offline32b_freq_boundary0p02_global,0.05,967,28
9,4,offline32b_freq_boundary0p02_global,0.05,388,28
9,5,offline32b_freq_boundary0p02_global,0.05,961,34
9,6,offline32b_freq_boundary0p02_global,0.05,1170,34
9,7,offline32b_freq_boundary0p02_global,0.05,106,22
9,8,offline32b_freq_boundary0p02_global,0.05,923,33
9,9,offline32b_freq_boundary0p02_global,0.05,884,49
10,0,offline32b_mean_score_global,0.05,911,51
10,1,offline32b_mean_score_global,0.05,193,28
10,2,offline32b_mean_score_global,0.05,179,26
10,3,offline32b_mean_score_global,0.05,361,26
10,4,offline32b_mean_score_global,0.05,436,28
10,5,offline32b_mean_score_global,0.05,927,30
10,6,offline32b_mean_score_global,0.05,882,22
10,7,offline32b_mean_score_global,0.05,899,19
10,8,offline32b_mean_score_global,0.05,954,22
10,9,offline32b_mean_score_global,0.05,899,80
10,0,offline32b_top2_mean_global,0.05,911,58
10,1,offline32b_top2_mean_global,0.05,193,29
10,2,offline32b_top2_mean_global,0.05,179,30
10,3,offline32b_top2_mean_global,0.05,361,23
10,4,offline32b_top2_mean_global,0.05,436,28
10,5,offline32b_top2_mean_global,0.05,927,31
10,6,offline32b_top2_mean_global,0.05,882,21
10,7,offline32b_top2_mean_global,0.05,899,20
10,8,offline32b_top2_mean_global,0.05,954,21
10,9,offline32b_top2_mean_global,0.05,899,71
10,0,offline32b_freq_boundary0p02_global,0.05,911,44
10,1,offline32b_freq_boundary0p02_global,0.05,193,30
10,2,offline32b_freq_boundary0p02_global,0.05,179,32
10,3,offline32b_freq_boundary0p02_global,0.05,361,31
10,4,offline32b_freq_boundary0p02_global,0.05,436,33
10,5,offline32b_freq_boundary0p02_global,0.05,927,30
10,6,offline32b_freq_boundary0p02_global,0.05,882,26
10,7,offline32b_freq_boundary0p02_global,0.05,899,26
10,8,offline32b_freq_boundary0p02_global,0.05,954,27
10,9,offline32b_freq_boundary0p02_global,0.05,899,53
11,0,offline32b_mean_score_global,0.05,425,45
11,1,offline32b_mean_score_global,0.05,65,12
11,2,offline32b_mean_score_global,0.05,546,8
11,3,offline32b_mean_score_global,0.05,442,15
11,4,offline32b_mean_score_global,0.05,415,12
11,5,offline32b_mean_score_global,0.05,513,21
11,6,offline32b_mean_score_global,0.05,953,17
11,7,offline32b_mean_score_global,0.05,583,32
11,8,offline32b_mean_score_global,0.05,534,30
11,9,offline32b_mean_score_global,0.05,737,68
11,0,offline32b_top2_mean_global,0.05,425,49
11,1,offline32b_top2_mean_global,0.05,65,12
11,2,offline32b_top2_mean_global,0.05,546,11
11,3,offline32b_top2_mean_global,0.05,442,18
11,4,offline32b_top2_mean_global,0.05,415,11
11,5,offline32b_top2_mean_global,0.05,513,19
11,6,offline32b_top2_mean_global,0.05,953,15
11,7,offline32b_top2_mean_global,0.05,583,30
11,8,offline32b_top2_mean_global,0.05,534,30
11,9,offline32b_top2_mean_global,0.05,737,65
11,0,offline32b_freq_boundary0p02_global,0.05,425,33
