part,target,source,kind,context_index,rank,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t2,2,raw,v,42,4,3485681.0855487734,24667869.18041992,1118333.8052266566,2716318.6498678653,2541832.993502364,0.3759049170822298,0.5664243326025161,0.2129216917803062,0.6791634754357943,0.8260623528920885
t2,2,raw,v,42,8,3485681.0855487734,24667869.18041992,1006238.7387187768,2785380.935577791,2632411.6692270115,0.3759049170822298,0.5372874440599836,0.2019689921086913,0.7113222024554899,0.8448268014193062
t2,2,raw,v,42,16,3485681.0855487734,24667869.18041992,831331.018281515,2893512.6505643115,2773931.382675737,0.3759049170822298,0.4883634663042664,0.1835782283070955,0.7615011247792817,0.8734523071487712
t2,2,raw,v,42,32,3485681.0855487734,24667869.18041992,600715.1949552892,3029403.2300798194,2957184.5879358724,0.3759049170822298,0.4151360835657341,0.1560516950706189,0.8276620321217038,0.9100307494126686
t2,2,raw,v,42,64,3485681.0855487734,24667869.18041992,315109.0465386666,3219651.203167781,3195111.6308765933,0.3759049170822298,0.3006675861126687,0.1130224240269969,0.909599002661181,0.9537571319001584
t2,2,raw,v,43,0,4234870.75949721,24667869.18041992,1042885.5915064564,2576515.463537113,2884250.34936703,0.414337519938854,0.4962474100320496,0.205613921148759,0.7537385080364828,0.8731653571723801
t2,2,raw,v,43,1,4234870.75949721,24667869.18041992,866862.6625287514,2875180.7254986297,3121594.4438862503,0.414337519938854,0.4524338269735189,0.1874603098046524,0.7953036322100959,0.8945895574998823
t2,2,raw,v,43,2,4234870.75949721,24667869.18041992,806896.9996107424,2949844.5523952674,3188909.207645066,0.414337519938854,0.4365047457530454,0.1808602937968568,0.8094636069350692,0.902240896319486
t2,2,raw,v,43,4,4234870.75949721,24667869.18041992,743731.0546867911,3042011.31689782,3266575.547038622,0.414337519938854,0.4190712596450103,0.1736369463989651,0.8243792793395444,0.9101064945250852
t2,2,raw,v,43,8,4234870.75949721,24667869.18041992,646942.0948018462,3197421.9033054374,3392675.3065313324,0.414337519938854,0.3908522575086139,0.1619447550386214,0.8472345128004202,0.9219815799267982
