part,example,target,source,kind,context_index,prefix_tokens,layer,rank,original_gap,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t3,0,3,preprocess,k,48,1095,26,2,0.18669689137834167,8448.373046875,242381.1875,1092.293212890625,7128.119140625,7242.10009765625,0.3595696905975545,0.06713054346843556,0.8707096376035789,0.9332339015943173
t3,0,3,preprocess,k,48,1095,26,4,0.18669689137834167,8448.373046875,242381.1875,969.9796142578125,7489.7763671875,7484.08544921875,0.33884006961523083,0.06326038767158448,0.8851874072231456,0.9408443277664709
t3,0,3,preprocess,k,48,1095,26,8,0.18669689137834167,8448.373046875,242381.1875,488.9568176269531,7916.0625,7937.73974609375,0.2405740125092121,0.04491442028188418,0.9421241445052174,0.9706344631728502
t3,0,3,preprocess,k,48,1095,26,16,0.18669689137834167,8448.373046875,242381.1875,431.68597412109375,7989.34716796875,8003.017578125,0.22604631311614928,0.042202143966320334,0.9489030643265958,0.9741180325873396
t3,0,3,preprocess,k,48,1095,26,32,0.18669689137834167,8448.373046875,242381.1875,357.17877197265625,8011.2763671875,8051.2353515625,0.20561570289756223,0.03838781254954755,0.9577221827219414,0.9786448698923645
t3,0,3,preprocess,k,49,259,26,0,0.2183630089480636,11561.859375,242476.4375,5707.865234375,5770.0537109375,5812.0234375,0.7026240545491875,0.15342710271064897,0.5063194379688605,0.7115797616583501
t3,0,3,preprocess,k,49,259,26,1,0.2183630089480636,11561.859375,242476.4375,3757.411376953125,6206.18994140625,7005.3193359375,0.5700730778674742,0.12448287260342542,0.6750166858907047,0.826992487394114
t3,0,3,preprocess,k,49,259,26,2,0.2183630089480636,11561.859375,242476.4375,3444.796875,6868.91796875,7492.990234375,0.5458432798300106,0.11919198099776099,0.7020551138644169,0.8408086292519553
t3,0,3,preprocess,k,49,259,26,4,0.2183630089480636,11561.859375,242476.4375,2814.5849609375,8334.970703125,8541.123046875,0.49339340481784044,0.10773886847115367,0.7565629480822587,0.8700597903854784
t3,0,3,preprocess,k,49,259,26,8,0.2183630089480636,11561.859375,242476.4375,2549.3349609375,9162.400390625,9087.462890625,0.46956920712161926,0.10253654497643327,0.7795047597231739,0.882925735627036
t3,0,3,preprocess,k,49,259,26,16,0.2183630089480636,11561.859375,242476.4375,2012.4302978515625,9791.646484375,9670.537109375,0.41720219258277813,0.09110152611210494,0.8259423305041225,0.9088849072998353
t3,0,3,preprocess,k,49,259,26,32,0.2183630089480636,11561.859375,242476.4375,1763.117431640625,10032.869140625,9915.8056640625,0.390505161211901,0.08527188201197936,0.8475057190668672,0.920664910968774
t3,0,3,preprocess,k,40,486,27,0,0.18890295501745702,9330.1767578125,261464.28125,4641.3408203125,3501.54052734375,4095.18798828125,0.705304726986654,0.1332341471155597,0.5025452420902814,0.7164721743273703
t3,0,3,preprocess,k,40,486,27,1,0.18890295501745702,9330.1767578125,261464.28125,4102.4189453125,3506.9580078125,4367.35791015625,0.6630939551515276,0.12526040758233667,0.560306406641504,0.7634991638500369
t3,0,3,preprocess,k,40,486,27,2,0.18890295501745702,9330.1767578125,261464.28125,3928.711669921875,3787.9052734375,4594.68505859375,0.6489035390146765,0.12257979604115808,0.5789241970542283,0.7728785557340333
t3,0,3,preprocess,k,40,486,27,4,0.18890295501745702,9330.1767578125,261464.28125,2868.50830078125,5431.5078125,5946.587890625,0.5544764684693954,0.10474224338151261,0.6925558459137076,0.8353388924758278
t3,0,3,preprocess,k,40,486,27,8,0.18890295501745702,9330.1767578125,261464.28125,2565.45556640625,6350.71435546875,6557.71728515625,0.5243693670172713,0.09905492295019601,0.7250367669339062,0.8519153904503312
t3,0,3,preprocess,k,40,486,27,16,0.18890295501745702,9330.1767578125,261464.28125,2343.91259765625,6537.1357421875,6761.7001953125,0.5012169747956629,0.09468136764381098,0.7487815441766839,0.8657992864805303
t3,0,3,preprocess,k,40,486,27,32,0.18890295501745702,9330.1767578125,261464.28125,2133.239990234375,6793.646484375,6995.29150390625,0.4781618493619547,0.09032618632108538,0.7713612458147554,0.8786368409443529
t3,0,3,preprocess,k,41,102,27,0,0.1869683526015548,9133.919921875,261288.921875,5852.138671875,3501.54052734375,3391.660888671875,0.8004398546004612,0.14965692097127628,0.35929603916719255,0.5997278884221765
t3,0,3,preprocess,k,41,102,27,1,0.1869683526015548,9133.919921875,261288.921875,3861.4599609375,4466.84765625,4869.6533203125,0.6502003038797876,0.12156687967743421,0.5772395648346319,0.7623753991239007
t3,0,3,preprocess,k,41,102,27,2,0.1869683526015548,9133.919921875,261288.921875,3467.696533203125,5022.06982421875,5344.14697265625,0.6161577881099751,0.11520200658553992,0.620349580151423,0.7890570786120035
