target,source,kind,layer,rank,subspace_overlap
1,preprocess,k,16,32,0.10008400678634644
1,preprocess,k,17,1,0.4986967146396637
1,preprocess,k,17,2,0.4286873936653137
1,preprocess,k,17,4,0.3872678279876709
1,preprocess,k,17,8,0.30708637833595276
1,preprocess,k,17,16,0.1819317787885666
1,preprocess,k,17,32,0.10370782762765884
1,preprocess,k,18,1,0.5489946007728577
1,preprocess,k,18,2,0.4470767378807068
1,preprocess,k,18,4,0.38920435309410095
1,preprocess,k,18,8,0.2994844317436218
1,preprocess,k,18,16,0.17712798714637756
1,preprocess,k,18,32,0.09964092820882797
1,preprocess,k,19,1,0.5877435803413391
1,preprocess,k,19,2,0.4752518832683563
1,preprocess,k,19,4,0.4049924612045288
1,preprocess,k,19,8,0.306113064289093
1,preprocess,k,19,16,0.18378017842769623
1,preprocess,k,19,32,0.10291367769241333
1,preprocess,k,20,1,0.714192271232605
1,preprocess,k,20,2,0.4685896635055542
1,preprocess,k,20,4,0.43791139125823975
1,preprocess,k,20,8,0.3284890055656433
1,preprocess,k,20,16,0.19885343313217163
1,preprocess,k,20,32,0.11247573047876358
1,preprocess,k,21,1,0.661564826965332
1,preprocess,k,21,2,0.5964704751968384
1,preprocess,k,21,4,0.42984336614608765
1,preprocess,k,21,8,0.32446444034576416
1,preprocess,k,21,16,0.19955217838287354
1,preprocess,k,21,32,0.11166121065616608
1,preprocess,k,22,1,0.5552074313163757
1,preprocess,k,22,2,0.5463588237762451
1,preprocess,k,22,4,0.42829465866088867
1,preprocess,k,22,8,0.31821590662002563
1,preprocess,k,22,16,0.1998758465051651
1,preprocess,k,22,32,0.11202111840248108
1,preprocess,k,23,1,0.6623503565788269
1,preprocess,k,23,2,0.4867505133152008
1,preprocess,k,23,4,0.44887688755989075
1,preprocess,k,23,8,0.3329245448112488
1,preprocess,k,23,16,0.20534634590148926
1,preprocess,k,23,32,0.11451993882656097
1,preprocess,k,24,1,0.622983455657959
1,preprocess,k,24,2,0.6012752056121826
1,preprocess,k,24,4,0.42967891693115234
1,preprocess,k,24,8,0.3319301903247833
1,preprocess,k,24,16,0.20547431707382202
1,preprocess,k,24,32,0.11665745079517365
1,preprocess,k,25,1,0.753557562828064
1,preprocess,k,25,2,0.5410875082015991
1,preprocess,k,25,4,0.4284626245498657
1,preprocess,k,25,8,0.31707432866096497
1,preprocess,k,25,16,0.1965087652206421
1,preprocess,k,25,32,0.11108241975307465
1,preprocess,k,26,1,0.6714891791343689
1,preprocess,k,26,2,0.5670334696769714
1,preprocess,k,26,4,0.4249843955039978
1,preprocess,k,26,8,0.3225696086883545
1,preprocess,k,26,16,0.19700869917869568
1,preprocess,k,26,32,0.11069008708000183
1,preprocess,k,27,1,0.6440616846084595
1,preprocess,k,27,2,0.5607215762138367
1,preprocess,k,27,4,0.42900994420051575
1,preprocess,k,27,8,0.3092310428619385
1,preprocess,k,27,16,0.1900455355644226
1,preprocess,k,27,32,0.10663425177335739
1,preprocess,k,28,1,0.6868359446525574
1,preprocess,k,28,2,0.5671417117118835
1,preprocess,k,28,4,0.42066988348960876
1,preprocess,k,28,8,0.308218777179718
1,preprocess,k,28,16,0.1894204318523407
1,preprocess,k,28,32,0.10651853680610657
1,preprocess,k,29,1,0.6118627190589905
1,preprocess,k,29,2,0.5276584029197693
1,preprocess,k,29,4,0.4164711833000183
1,preprocess,k,29,8,0.2948992848396301
1,preprocess,k,29,16,0.18082472681999207
1,preprocess,k,29,32,0.10131815075874329
1,preprocess,k,30,1,0.6238749027252197
1,preprocess,k,30,2,0.5045156478881836
1,preprocess,k,30,4,0.40164104104042053
1,preprocess,k,30,8,0.2831128239631653
1,preprocess,k,30,16,0.17465609312057495
1,preprocess,k,30,32,0.09739024937152863
1,preprocess,k,31,1,0.5601914525032043
1,preprocess,k,31,2,0.4837433099746704
1,preprocess,k,31,4,0.3853282332420349
1,preprocess,k,31,8,0.27467989921569824
1,preprocess,k,31,16,0.1710210144519806
1,preprocess,k,31,32,0.09526552259922028
1,preprocess,k,32,1,0.6088473796844482
1,preprocess,k,32,2,0.4863227605819702
1,preprocess,k,32,4,0.3912140130996704
1,preprocess,k,32,8,0.27835071086883545
1,preprocess,k,32,16,0.17439180612564087
1,preprocess,k,32,32,0.09799721091985703
1,preprocess,k,33,1,0.5585063099861145
1,preprocess,k,33,2,0.48591089248657227
1,preprocess,k,33,4,0.4013771116733551
1,preprocess,k,33,8,0.27810555696487427
1,preprocess,k,33,16,0.17235067486763
1,preprocess,k,33,32,0.09647639840841293
1,preprocess,k,34,1,0.5447340607643127
1,preprocess,k,34,2,0.47388118505477905
1,preprocess,k,34,4,0.3848777413368225
1,preprocess,k,34,8,0.27375343441963196
1,preprocess,k,34,16,0.1717558056116104
1,preprocess,k,34,32,0.09745874255895615
1,preprocess,k,35,1,0.6090515851974487
1,preprocess,k,35,2,0.48356032371520996
1,preprocess,k,35,4,0.42179661989212036
1,preprocess,k,35,8,0.29930636286735535
1,preprocess,k,35,16,0.18796995282173157
1,preprocess,k,35,32,0.1056576818227768
1,preprocess,k,36,1,0.5431059002876282
