example,target,source,kind,rank,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy
1,4,preprocess,k,16,0.23868837257850165,0.6159103565373288,0.14701064065613972,0.6206544327100605
1,4,preprocess,k,32,0.23868837257850165,0.48395544193264767,0.11551453683541323,0.7657871302237756
1,4,preprocess,k,64,0.23868837257850165,0.3304421395164067,0.07887269651252932,0.8908079924318196
1,5,preprocess,k,1,0.43146954730818726,0.8353880186226493,0.36044449022179803,0.30212685834172415
1,5,preprocess,k,2,0.43146954730818726,0.8032067692607747,0.34655926112781815,0.35485888581366853
1,5,preprocess,k,4,0.43146954730818726,0.7639768958665362,0.3296327654134485,0.4163393025821318
1,5,preprocess,k,8,0.43146954730818726,0.6926385834975022,0.29885245606985134,0.5202517926505738
1,5,preprocess,k,16,0.43146954730818726,0.601391721763309,0.25948221394410625,0.6383279969945628
1,5,preprocess,k,32,0.43146954730818726,0.4843967727435666,0.20900245625321354,0.7653597665556175
1,5,preprocess,k,64,0.43146954730818726,0.3339174304702976,0.14407520256333242,0.8884991496281139
1,6,preprocess,k,1,0.4156315138795804,0.8731775659683015,0.3629201136290923,0.2375609382896724
1,6,preprocess,k,2,0.4156315138795804,0.8391237908123972,0.348766291507729,0.2958712636926323
1,6,preprocess,k,4,0.4156315138795804,0.7916749376784469,0.3290450528478154,0.3732507930518272
1,6,preprocess,k,8,0.4156315138795804,0.728410524668208,0.3027503690936667,0.46941810755258595
1,6,preprocess,k,16,0.4156315138795804,0.641666467450432,0.26669680527218553,0.5882641445496837
1,6,preprocess,k,32,0.4156315138795804,0.5286645729971361,0.2197296568093016,0.7205137692577558
1,6,preprocess,k,64,0.4156315138795804,0.37341556799034337,0.1552032778300298,0.8605608135824493
1,7,preprocess,k,1,0.2610164843533615,0.9483766313202435,0.247541934150094,0.10058176516566697
1,7,preprocess,k,2,0.2610164843533615,0.9172276458513012,0.2394115354718168,0.15869344568608001
1,7,preprocess,k,4,0.2610164843533615,0.8666041720654452,0.22619797431847807,0.24899720895876432
1,7,preprocess,k,8,0.2610164843533615,0.7493489263826357,0.1955924223183615,0.4384761865291912
1,7,preprocess,k,16,0.2610164843533615,0.6319748910590305,0.16495586426382677,0.6006077370709265
1,7,preprocess,k,32,0.2610164843533615,0.49928326595413663,0.13032116277581315,0.7507162203381709
1,7,preprocess,k,64,0.2610164843533615,0.34161503519807046,0.08916715548965021,0.8832991677266211
1,8,preprocess,k,1,0.4116486949271197,0.8463217795901977,0.34838725605670234,0.2837394453912808
1,8,preprocess,k,2,0.4116486949271197,0.8068579075646987,0.3321420046406348,0.3489803170003162
1,8,preprocess,k,4,0.4116486949271197,0.7611887809138522,0.31334236825635253,0.42059163981088343
1,8,preprocess,k,8,0.4116486949271197,0.7035321559032727,0.2896080938168451,0.5050425056100931
1,8,preprocess,k,16,0.4116486949271197,0.618036378092812,0.25441386845938996,0.6180310353539188
1,8,preprocess,k,32,0.4116486949271197,0.5017298917371398,0.20653645513951865,0.7482671157374381
1,8,preprocess,k,64,0.4116486949271197,0.34721134004014054,0.14292909499142023,0.8794442853475299
1,9,preprocess,k,1,0.4110620970926759,0.857111571629913,0.35232608007659133,0.2653597537781005
1,9,preprocess,k,2,0.4110620970926759,0.8216602626108995,0.3377533906465552,0.32487441284618757
1,9,preprocess,k,4,0.4110620970926759,0.7826341199753245,0.3217112226133378,0.3874838342504494
1,9,preprocess,k,8,0.4110620970926759,0.728389841021528,0.2994134555513101,0.46944823949663317
1,9,preprocess,k,16,0.4110620970926759,0.6383163766144948,0.2623876683797525,0.5925522033457424
1,9,preprocess,k,32,0.4110620970926759,0.5155523933670497,0.21192404797860764,0.7342057296935067
1,9,preprocess,k,64,0.4110620970926759,0.3569111198247676,0.14671263339086427,0.8726144525454305
1,10,preprocess,k,1,0.43115330861715573,0.8888171528162604,0.38321645619241074,0.21000406885959644
1,10,preprocess,k,2,0.43115330861715573,0.8539914742564063,0.36820124965649215,0.27069856189736974
1,10,preprocess,k,4,0.43115330861715573,0.8105349208776949,0.34946481288616266,0.3430331420377889
1,10,preprocess,k,8,0.43115330861715573,0.7283073334242435,0.3140121164960006,0.46956842808046784
1,10,preprocess,k,16,0.43115330861715573,0.6216017462034112,0.26800564951780226,0.61361126911687
1,10,preprocess,k,32,0.43115330861715573,0.49762961847541676,0.21455465647156882,0.7523647628160112
1,10,preprocess,k,64,0.43115330861715573,0.34484404146499853,0.14868064943454576,0.8810825870660863
2,4,preprocess,k,1,0.39956392209815406,0.8786370202291023,0.35107165390337525,0.22799698668292412
2,4,preprocess,k,2,0.39956392209815406,0.8373623931409752,0.3345798020209045,0.29882422255321894
2,4,preprocess,k,4,0.39956392209815406,0.7898628337095707,0.3156006917565581,0.3761167039242872
2,4,preprocess,k,8,0.39956392209815406,0.7233132208966015,0.2890098674468946,0.47681798447618406
2,4,preprocess,k,16,0.39956392209815406,0.6333673041682345,0.2530707241821943,0.598845858010663
2,4,preprocess,k,32,0.39956392209815406,0.5139487244912857,0.2053553681150817,0.7358567085937806
2,4,preprocess,k,64,0.39956392209815406,0.3594986684717454,0.14364269796363457,0.8707607073670421
2,5,preprocess,k,1,0.13164592185382282,0.9589092652439177,0.12623649419720745,0.08049302102936984
2,5,preprocess,k,2,0.13164592185382282,0.9124801973489919,0.12012429675336621,0.16737988944594484
2,5,preprocess,k,4,0.13164592185382282,0.8446129935896732,0.11118985615082948,0.28662889105949063
2,5,preprocess,k,8,0.13164592185382282,0.7554312563771605,0.09944944414296286,0.4293236168884248
2,5,preprocess,k,16,0.13164592185382282,0.6472782357749564,0.08521154004451022,0.58103088549206
2,5,preprocess,k,32,0.13164592185382282,0.5146942308245893,0.06775739648974734,0.7350898487558843
2,5,preprocess,k,64,0.13164592185382282,0.35447676939483375,0.04666542108274785,0.8743462199594019
2,6,preprocess,k,1,0.38900408368782907,0.8915037828139418,0.3467986121377708,0.20522100522843212
2,6,preprocess,k,2,0.38900408368782907,0.860367033292114,0.33468628942101475,0.2597685680241264
2,6,preprocess,k,4,0.38900408368782907,0.8201582076092373,0.3190448920300836,0.32734051449120327
2,6,preprocess,k,8,0.38900408368782907,0.7584095129078908,0.2950243976288669,0.42481501073081573
2,6,preprocess,k,16,0.38900408368782907,0.652017333644921,0.2536374054231241,0.5748733966265678
2,6,preprocess,k,32,0.38900408368782907,0.5296774036430425,0.20604667305431013,0.7194418480699654
2,6,preprocess,k,64,0.38900408368782907,0.3690940157737988,0.14357907940074774,0.8637696075199708
2,7,preprocess,k,1,0.43245142361738576,0.8842121672761628,0.3823788105183906,0.2181688432407911
2,7,preprocess,k,2,0.43245142361738576,0.8501009403583725,0.36762736187645656,0.27732839120181085
2,7,preprocess,k,4,0.43245142361738576,0.8117989136389567,0.3510635958942141,0.3409825238146096
2,7,preprocess,k,8,0.43245142361738576,0.7460276117662809,0.3226207027662066,0.4434428024822993
2,7,preprocess,k,16,0.43245142361738576,0.6502304270425433,0.28119307385388853,0.5772003917480718
2,7,preprocess,k,32,0.43245142361738576,0.5225606771801368,0.22598210877301528,0.726930338665037
2,7,preprocess,k,64,0.43245142361738576,0.36200752827054733,0.1565506709608092,0.8689505494754489
2,8,preprocess,k,1,0.23864768592286756,0.9785498049414418,0.23352864650954852,0.042440279249066126
2,8,preprocess,k,2,0.23864768592286756,0.9340822363320139,0.22291656416229222,0.1274903757689837
2,8,preprocess,k,4,0.23864768592286756,0.8208476254806373,0.19589338631623474,0.3262091757427995
2,8,preprocess,k,8,0.23864768592286756,0.6693467046290925,0.1597380421398301,0.5519749890021743
2,8,preprocess,k,16,0.23864768592286756,0.5174873063007148,0.12349714814312376,0.7322068878176301
2,8,preprocess,k,32,0.23864768592286756,0.39625266207700083,0.09456478084545226,0.8429838277968902
2,8,preprocess,k,64,0.23864768592286756,0.26987787572901706,0.06440573052450914,0.9271659321919932
2,9,preprocess,k,1,0.21958167697332717,0.953109571530688,0.2092853980560378,0.09158214465658832
2,9,preprocess,k,2,0.21958167697332717,0.9213475384660984,0.20231103757163293,0.1511187133624613
2,9,preprocess,k,4,0.21958167697332717,0.8496430407592119,0.18656604371862473,0.2781067032894401
