part,target,source,context_index,method,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t5,5,preprocess,45,cached_prefix_r8,0.9327580521279392,0.2311262605365386,0.2155848805736763,0.946580651690396,0.9736232450044068
t5,5,preprocess,46,mean,0.9297718043073,0.1693605075815898,0.1574666247125349,0.9713170184717064,0.985567110571839
t5,5,preprocess,46,oracle_r4,0.9297718043073,0.1457665050413038,0.1355295863998222,0.9787521260080436,0.989319564829875
t5,5,preprocess,46,oracle_r8,0.9297718043073,0.1300117707921045,0.1208812787105621,0.9830969394555013,0.9915153656556456
t5,5,preprocess,46,position_r4,0.9297718043073,0.16621526935629,0.1545422708928216,0.972372484232816,0.986093820383666
t5,5,preprocess,46,position_r8,0.9297718043073,0.1659778127238366,0.1543214904112207,0.972451365683411,0.9861352461515568
t5,5,preprocess,46,cached_prefix_r4,0.9297718043073,0.1600920971097717,0.1488491179850919,0.9743705204429954,0.987131025749028
t5,5,preprocess,46,cached_prefix_r8,0.9297718043073,0.1537810871496157,0.1429813188674364,0.9763513772350824,0.9881271893252326
t5,5,preprocess,47,mean,0.9342714296784166,0.1844833341102245,0.1723575083110005,0.9659658994355752,0.98286101379294
t5,5,preprocess,47,oracle_r4,0.9342714296784166,0.161129239802809,0.1505384452335667,0.9740373680805688,0.9869336782746896
t5,5,preprocess,47,oracle_r8,0.9342714296784166,0.1570469808887832,0.1467245073616424,0.975336245793718,0.987593560873561
t5,5,preprocess,47,position_r4,0.9342714296784166,0.1870098224025532,0.1747179341399402,0.9650273263249656,0.9823640228787152
t5,5,preprocess,47,position_r8,0.9342714296784166,0.1860992906023066,0.173867250293156,0.9653670540373184,0.9825395623526316
t5,5,preprocess,47,cached_prefix_r4,0.9342714296784166,0.1636126158901182,0.1528585925610863,0.9732309119215926,0.9865277018692356
t5,5,preprocess,47,cached_prefix_r8,0.9342714296784166,0.1641310905863162,0.1533429886567553,0.9730609851029464,0.9864392483377916
t5,5,preprocess,48,mean,0.9311058159463036,0.2722017120842311,0.2534485972321689,0.9259062279384134,0.96238562687574
t5,5,preprocess,48,oracle_r4,0.9311058159463036,0.1949733970287162,0.1815408639282454,0.9619853744510826,0.9808155163113964
t5,5,preprocess,48,oracle_r8,0.9311058159463036,0.1831674153054898,0.1705482456827935,0.9664496979703062,0.9831012406956128
t5,5,preprocess,48,position_r4,0.9311058159463036,0.2575386250803547,0.2397957116431328,0.9336738565917204,0.9662696630503094
t5,5,preprocess,48,position_r8,0.9311058159463036,0.2537766685798562,0.2362929320661817,0.9355974024845096,0.9672737857001952
t5,5,preprocess,48,cached_prefix_r4,0.9311058159463036,0.2101814302017149,0.1957011520647288,0.9558237663983616,0.9777133582697392
t5,5,preprocess,48,cached_prefix_r8,0.9311058159463036,0.2051068320904183,0.1909761642497105,0.957931187429833,0.9788147441805124
t5,5,preprocess,49,mean,0.934991534743892,0.1790066069391132,0.1673696621512981,0.967956634672146,0.9838875890222512
t5,5,preprocess,49,oracle_r4,0.934991534743892,0.1748688213914489,0.1635008676916463,0.9694208953051656,0.9846070304373796
t5,5,preprocess,49,oracle_r8,0.934991534743892,0.1555951179457348,0.1454801181267395,0.9757901592714529,0.987830035868721
t5,5,preprocess,49,position_r4,0.934991534743892,0.1839302361342656,0.1719732137689835,0.9661696682355932,0.982997893605548
t5,5,preprocess,49,position_r8,0.934991534743892,0.1838412189629432,0.1718899834673501,0.9662024062102192,0.9830117533331818
t5,5,preprocess,49,cached_prefix_r4,0.934991534743892,0.1884189864734727,0.1761701573377208,0.9644982855363092,0.9821541174629304
t5,5,preprocess,49,cached_prefix_r8,0.934991534743892,0.1757218984053169,0.1642984874780975,0.9691218144208316,0.9845007856519644
t4,4,preprocess,40,mean,0.2777206279876659,0.6284420706892688,0.1745313265256928,0.6050605637877841,0.7786012332325484
t4,4,preprocess,40,oracle_r4,0.2777206279876659,0.504546780770646,0.140123048804779,0.7454325460139777,0.8635046171598123
t4,4,preprocess,40,oracle_r8,0.2777206279876659,0.483546045666417,0.1342907114634299,0.7661832217203713,0.8754296448994365
t4,4,preprocess,40,position_r4,0.2777206279876659,0.5819226164821236,0.161611914489641,0.6613660684265993,0.8303319708580639
t4,4,preprocess,40,position_r8,0.2777206279876659,0.5859715349896546,0.1627363826802234,0.656637360181868,0.8309793881730586
t4,4,preprocess,40,cached_prefix_r4,0.2777206279876659,0.6217365972613373,0.1726690782343331,0.6134436036258937,0.7837942982842155
t4,4,preprocess,40,cached_prefix_r8,0.2777206279876659,0.618884256198068,0.1718769242830069,0.6169822774301641,0.7859919834994886
t4,4,preprocess,41,mean,0.2863654245057139,0.7352045895788802,0.2105371743933051,0.4594742114621503,0.6855598113223287
t4,4,preprocess,41,oracle_r4,0.2863654245057139,0.5941584366067935,0.1701464329225556,0.646975752208971,0.8051618758113394
t4,4,preprocess,41,oracle_r8,0.2863654245057139,0.5297308644562053,0.15169660387378,0.7193852112424814,0.8485498853246215
t4,4,preprocess,41,position_r4,0.2863654245057139,0.6877823685769525,0.1969570899450843,0.526955413474677,0.733294672907016
t4,4,preprocess,41,position_r8,0.2863654245057139,0.6813572231849381,0.1951171504573892,0.5357523344137105,0.7393358143807204
t4,4,preprocess,41,cached_prefix_r4,0.2863654245057139,0.69492335260492,0.1990020208676418,0.5170815340043381,0.7225487971401191
t4,4,preprocess,41,cached_prefix_r8,0.2863654245057139,0.6913818364969496,0.197987853103989,0.5219911561621053,0.7256476923753126
t4,4,preprocess,42,mean,0.2961807930407499,0.607454241040651,0.1799162788473869,0.6309993450417266,0.7950415910657428
t4,4,preprocess,42,oracle_r4,0.2961807930407499,0.5010372724305204,0.1483976166914458,0.7489616516353844,0.8654783572975177
t4,4,preprocess,42,oracle_r8,0.2961807930407499,0.4593447570037228,0.1360490944084732,0.7890023942131908,0.8882784461980935
t4,4,preprocess,42,position_r4,0.2961807930407499,0.557015433509524,0.1649772728327879,0.6897338068321971,0.8311826896904303
t4,4,preprocess,42,position_r8,0.2961807930407499,0.5560150303697654,0.1646809726374937,0.6908472860029089,0.8318711012386046
t4,4,preprocess,42,cached_prefix_r4,0.2961807930407499,0.6066310557587483,0.1796724671777735,0.6319987621890264,0.7957350983655112
t4,4,preprocess,42,cached_prefix_r8,0.2961807930407499,0.6043045779700162,0.1789834091413151,0.6348159770444806,0.7975725420442629
t4,4,preprocess,43,mean,0.3670884904588529,0.7890140899981184,0.2896379912481748,0.3774567657844412,0.6143752971847373
t4,4,preprocess,43,oracle_r4,0.3670884904588529,0.5861603427842365,0.2151727153995091,0.6564160525470664,0.8101953196117517
t4,4,preprocess,43,oracle_r8,0.3670884904588529,0.5684423066758526,0.208668628270587,0.6768733439810359,0.8227233317828465
t4,4,preprocess,43,position_r4,0.3670884904588529,0.6080072157260248,0.2231924510089565,0.6303272256250871,0.7940776749007278
t4,4,preprocess,43,position_r8,0.3670884904588529,0.595109647795574,0.2184579022667768,0.6458445071006279,0.8038441779380114
t4,4,preprocess,43,cached_prefix_r4,0.3670884904588529,0.7677762803789641,0.2818418357744269,0.4105195832874423,0.6409675875876109
t4,4,preprocess,43,cached_prefix_r8,0.3670884904588529,0.759620402060827,0.2788479067142559,0.4229768447729475,0.6505024297111365
t4,4,preprocess,44,mean,0.336234659457329,0.6807206987773243,0.2288818923389486,0.5366193302561113,0.7353437520271028
t4,4,preprocess,44,oracle_r4,0.336234659457329,0.5297100563827656,0.1781068804189817,0.7194072561669673,0.8482720396825728
t4,4,preprocess,44,oracle_r8,0.336234659457329,0.4661884293439776,0.1567487077834194,0.7826683483457952,0.884792765439893
t4,4,preprocess,44,position_r4,0.336234659457329,0.741225711101461,0.2492257745532162,0.4505844452021336,0.6712647937600985
t4,4,preprocess,44,position_r8,0.336234659457329,0.7273736389719324,0.2445682277979658,0.4709275893287289,0.6863240162181876
t4,4,preprocess,44,cached_prefix_r4,0.336234659457329,0.6992452683486016,0.2351104946803407,0.5110560546920921,0.7161156047035938
t4,4,preprocess,44,cached_prefix_r8,0.336234659457329,0.6920194060418854,0.2326809093283564,0.5211091416614362,0.7235088946442211
t4,4,preprocess,45,mean,0.3112161792400688,0.6416607238407798,0.1996951988421444,0.5882715154801266,0.7681934600890142
t4,4,preprocess,45,oracle_r4,0.3112161792400688,0.504880196199461,0.1571268856351725,0.7450959874855938,0.8632038048562682
t4,4,preprocess,45,oracle_r8,0.3112161792400688,0.4268114084360613,0.1328306157895434,0.8178320216288256,0.9043624126574606
t4,4,preprocess,45,position_r4,0.3112161792400688,0.6811682166230704,0.2119905697972035,0.5360098606625459,0.7330001484775791
t4,4,preprocess,45,position_r8,0.3112161792400688,0.6675064177662562,0.2077387969554394,0.5544351822408602,0.7450036173007996
t4,4,preprocess,45,cached_prefix_r4,0.3112161792400688,0.6542669129626556,0.2036184488554323,0.5719348066023169,0.7569417057247732
t4,4,preprocess,45,cached_prefix_r8,0.3112161792400688,0.6475848170869711,0.2015388725076859,0.5806339046784341,0.7629367636738394
t4,4,preprocess,46,mean,0.2661552387037814,0.7045235688638157,0.1875126386433888,0.5036465409153923,0.7209557269059861
t4,4,preprocess,46,oracle_r4,0.2661552387037814,0.5698094651222793,0.1516577742052942,0.675317173457062,0.8240294184665587
t4,4,preprocess,46,oracle_r8,0.2661552387037814,0.4994475532468978,0.1329305827544477,0.7505521415556872,0.8677627547103088
t4,4,preprocess,46,position_r4,0.2661552387037814,0.6630347957171085,0.176470184323,0.5603848596683723,0.7723336867836227
t4,4,preprocess,46,position_r8,0.2661552387037814,0.6700140294958863,0.17832774395536,0.5510812002786856,0.7677599429823838
t4,4,preprocess,46,cached_prefix_r4,0.2661552387037814,0.6983779748322579,0.1858769565969431,0.5122682042691942,0.7259052395779603
t4,4,preprocess,46,cached_prefix_r8,0.2661552387037814,0.6993151380390571,0.1861263874939531,0.5109583377094145,0.7251763270172157
t4,4,preprocess,47,mean,0.3666705852998234,0.8134757072672117,0.2982776137108563,0.3382572736861097,0.582533076530566
t4,4,preprocess,47,oracle_r4,0.3666705852998234,0.6092747188157738,0.223403117756565,0.6287843170119598,0.7931923713718828
t4,4,preprocess,47,oracle_r8,0.3666705852998234,0.6001103752770914,0.2200428225473477,0.6398675374847885,0.800203411003736
t4,4,preprocess,47,position_r4,0.3666705852998234,0.6742685578066447,0.2472344467402302,0.5453619119533473,0.7386044864179473
t4,4,preprocess,47,position_r8,0.3666705852998234,0.6742630847155227,0.2472324399187051,0.5453692925899079,0.7385860066453632
t4,4,preprocess,47,cached_prefix_r4,0.3666705852998234,0.7866281316928142,0.2884333974611107,0.3812161824294725,0.6175728439567291
t4,4,preprocess,47,cached_prefix_r8,0.3666705852998234,0.7860242410482122,0.2882119685249974,0.382165892484582,0.6184197464886145
t4,4,preprocess,48,mean,0.2983765908500629,0.6349713440956147,0.1894605849387317,0.5968113921774084,0.7727079988837322
t4,4,preprocess,48,oracle_r4,0.2983765908500629,0.5489358579965169,0.1637896099043549,0.6986694238056279,0.8358706432115632
t4,4,preprocess,48,oracle_r8,0.2983765908500629,0.5263371713014185,0.1570466908105828,0.7229691821064212,0.850284356401034
t4,4,preprocess,48,position_r4,0.2983765908500629,0.5980889421050607,0.1784557395704286,0.6422896173316495,0.8019437837725086
t4,4,preprocess,48,position_r8,0.2983765908500629,0.5986109120008272,0.1786114831684538,0.641664976033538,0.8015136855080083
t4,4,preprocess,48,cached_prefix_r4,0.2983765908500629,0.6256906529785603,0.1866914439624926,0.6085112067752627,0.7803423908694652
t4,4,preprocess,48,cached_prefix_r8,0.2983765908500629,0.6226533519589936,0.1857851844388888,0.6123028032942296,0.7828018020066977
t4,4,preprocess,49,mean,0.3382575529553401,0.6670686292643976,0.225641002188248,0.5550194438513177,0.7495303206091553
t4,4,preprocess,49,oracle_r4,0.3382575529553401,0.5314725090160106,0.1797745903627906,0.7175369721602265,0.8473928262634993
t4,4,preprocess,49,oracle_r8,0.3382575529553401,0.4865215171139291,0.1645695778390772,0.7632968133851608,0.8737454653037803
t4,4,preprocess,49,position_r4,0.3382575529553401,0.5712850204606241,0.1932414730610521,0.6736334253973043,0.826106465800824
t4,4,preprocess,49,position_r8,0.3382575529553401,0.57248517969924,0.193647435988263,0.672260719024729,0.8240859760960841
t4,4,preprocess,49,cached_prefix_r4,0.3382575529553401,0.6444671297496752,0.2179958742692767,0.5846621186722153,0.7704710135429463
t4,4,preprocess,49,cached_prefix_r8,0.3382575529553401,0.6428108679595335,0.21743563120909,0.5867941880331111,0.7719531055367788
