example_id,sub_q_idx,doc_rank,chunk_id,kind,doc_len,full_prompt_len,token,layer0_delta_l2,layer0_base_l2,layer0_relative_l2,layer0_energy_share
0,0,1,2,key,92,968,55,286.4309997558594,589.6176147460938,0.4857911171449725,0.010160986196056692
0,0,1,2,key,92,968,56,291.9832458496094,592.8271484375,0.4925267788750599,0.010558730294080455
0,0,1,2,key,92,968,57,276.36175537109375,556.221435546875,0.49685563645956093,0.009459141136858275
0,0,1,2,key,92,968,58,289.20166015625,593.2881469726562,0.4874556514097666,0.010358512344495557
0,0,1,2,key,92,968,59,283.4696960449219,599.8051147460938,0.4726029990006308,0.009951971030073616
0,0,1,2,key,92,968,60,306.6958312988281,590.6710815429688,0.5192328537528323,0.011649615122363127
0,0,1,2,key,92,968,61,286.68719482421875,582.7847900390625,0.4919263503857099,0.01017917085124668
0,0,1,2,key,92,968,62,279.1401062011719,595.4443969726562,0.4687929009330991,0.009650288045557459
0,0,1,2,key,92,968,63,247.088623046875,572.8660888671875,0.4313200376993501,0.007561384560952565
0,0,1,2,key,92,968,64,293.1044616699219,596.3513793945312,0.4914962416411395,0.010639976825507937
0,0,1,2,key,92,968,65,322.5869445800781,556.7893676757812,0.5793697999777899,0.012888114571292797
0,0,1,2,key,92,968,66,309.2177429199219,584.4801635742188,0.5290474547998173,0.01184198795200121
0,0,1,2,key,92,968,67,290.7828063964844,607.0033569335938,0.47904645513895494,0.01047208758185088
0,0,1,2,key,92,968,68,291.2080993652344,597.016357421875,0.4877723964260746,0.01050274237836728
0,0,1,2,key,92,968,69,280.61834716796875,608.6582641601562,0.4610441748542975,0.009752769037067916
0,0,1,2,key,92,968,70,279.3245849609375,564.6336669921875,0.494700548851264,0.009663048460192213
0,0,1,2,key,92,968,71,291.7262878417969,572.9766845703125,0.5091416382161661,0.010540153769924204
0,0,1,2,key,92,968,72,302.36993408203125,561.8663330078125,0.5381527888730546,0.011323300512478688
0,0,1,2,key,92,968,73,298.044189453125,575.881103515625,0.5175446591902938,0.011001632210683123
0,0,1,2,key,92,968,74,314.89495849609375,596.9930419921875,0.5274683896570674,0.012280816366510133
