base_method,example_id,sub_q_idx,doc_len,num_chunks,online_selected,base_selected,residual_size,residual_mapped,nonempty_chunks,nonempty_chunk_frac,top1_chunk_frac,top2_chunk_frac,top3_chunk_frac,entropy_norm,chunks_for_50pct,chunks_for_70pct,chunks_for_80pct,chunks_for_90pct,chunks_for_95pct
freq,89,1,1650,15,271,352,120,120,6,0.4,0.2833333333333333,0.5166666666666667,0.75,0.6093182683782516,2,3,4,5,6
freq,14,0,1097,11,198,133,111,111,10,0.9090909090909091,0.36036036036036034,0.5315315315315315,0.6846846846846847,0.7570351923021744,2,4,4,6,7
freq,138,0,1591,11,259,166,117,117,10,0.9090909090909091,0.21367521367521367,0.42735042735042733,0.6068376068376068,0.841185006502214,3,4,5,7,8
freq,119,0,1448,11,248,145,119,119,7,0.6363636363636364,0.31092436974789917,0.6134453781512605,0.7563025210084033,0.6782457232067942,2,3,4,5,5
freq,162,0,1433,13,243,198,136,136,9,0.6923076923076923,0.2647058823529412,0.5073529411764706,0.75,0.6564029455053673,2,3,4,5,5
freq,14,1,1709,14,280,280,131,131,11,0.7857142857142857,0.2595419847328244,0.4732824427480916,0.6183206106870229,0.7693730725921248,3,4,5,7,8
freq,44,1,1137,11,196,147,92,92,8,0.7272727272727273,0.32608695652173914,0.5,0.6521739130434783,0.7700276638082264,2,4,5,6,7
freq,90,0,1647,11,270,101,174,174,11,1.0,0.3620689655172414,0.5402298850574713,0.6954022988505747,0.7991284516814412,2,4,5,7,9
freq,138,1,1983,15,321,440,131,131,8,0.5333333333333333,0.21374045801526717,0.42748091603053434,0.5877862595419847,0.7058252489249968,3,4,5,6,7
freq,119,1,1212,13,204,289,101,101,5,0.38461538461538464,0.43564356435643564,0.7029702970297029,0.900990099009901,0.5122319910982297,2,2,3,3,4
freq,63,0,1499,11,247,161,97,97,11,1.0,0.27835051546391754,0.5154639175257731,0.6288659793814433,0.8393572318850756,2,4,6,7,9
freq,15,0,705,11,128,81,61,61,9,0.8181818181818182,0.4426229508196721,0.6721311475409836,0.7868852459016393,0.677306309721758,2,3,4,5,6
freq,120,0,2188,13,356,314,168,168,11,0.8461538461538461,0.19642857142857142,0.34523809523809523,0.47619047619047616,0.8775673593294208,4,6,7,9,10
