example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_path
6,5,docgen_draft_smart_mean_score_global,0.15,49,7,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example006_chunk05_docgen_scores.npz
6,6,docgen_draft_smart_mean_score_global,0.15,203,30,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example006_chunk06_docgen_scores.npz
6,7,docgen_draft_smart_mean_score_global,0.15,140,21,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example006_chunk07_docgen_scores.npz
6,8,docgen_draft_smart_mean_score_global,0.15,113,16,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example006_chunk08_docgen_scores.npz
6,9,docgen_draft_smart_mean_score_global,0.15,148,22,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example006_chunk09_docgen_scores.npz
7,0,docgen_draft_smart_mean_score_global,0.15,154,23,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk00_docgen_scores.npz
7,1,docgen_draft_smart_mean_score_global,0.15,84,12,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk01_docgen_scores.npz
7,2,docgen_draft_smart_mean_score_global,0.15,152,22,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk02_docgen_scores.npz
7,3,docgen_draft_smart_mean_score_global,0.15,254,38,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk03_docgen_scores.npz
7,4,docgen_draft_smart_mean_score_global,0.15,49,7,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk04_docgen_scores.npz
7,5,docgen_draft_smart_mean_score_global,0.15,203,30,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk05_docgen_scores.npz
7,6,docgen_draft_smart_mean_score_global,0.15,37,5,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk06_docgen_scores.npz
7,7,docgen_draft_smart_mean_score_global,0.15,183,27,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk07_docgen_scores.npz
7,8,docgen_draft_smart_mean_score_global,0.15,244,36,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk08_docgen_scores.npz
7,9,docgen_draft_smart_mean_score_global,0.15,227,34,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk09_docgen_scores.npz
