chunk,method,chunk_len,selected_count,example_id,rate
chunk13,hybrid_draft50_qk50_score_per_chunk,311,15,9,0.05
chunk14,draft_frequency_per_chunk,151,7,9,0.05
chunk14,qk_frequency_per_chunk,151,7,9,0.05
chunk14,hybrid_draft70_qk30_score_per_chunk,151,7,9,0.05
chunk14,hybrid_draft50_qk50_score_per_chunk,151,7,9,0.05
chunk00,draft_frequency_per_chunk,186,9,10,0.05
chunk00,qk_frequency_per_chunk,186,9,10,0.05
chunk00,hybrid_draft70_qk30_score_per_chunk,186,9,10,0.05
chunk00,hybrid_draft50_qk50_score_per_chunk,186,9,10,0.05
chunk01,draft_frequency_per_chunk,203,10,10,0.05
chunk01,qk_frequency_per_chunk,203,10,10,0.05
chunk01,hybrid_draft70_qk30_score_per_chunk,203,10,10,0.05
chunk01,hybrid_draft50_qk50_score_per_chunk,203,10,10,0.05
chunk02,draft_frequency_per_chunk,90,4,10,0.05
chunk02,qk_frequency_per_chunk,90,4,10,0.05
chunk02,hybrid_draft70_qk30_score_per_chunk,90,4,10,0.05
chunk02,hybrid_draft50_qk50_score_per_chunk,90,4,10,0.05
chunk03,draft_frequency_per_chunk,310,15,10,0.05
chunk03,qk_frequency_per_chunk,310,15,10,0.05
chunk03,hybrid_draft70_qk30_score_per_chunk,310,15,10,0.05
chunk03,hybrid_draft50_qk50_score_per_chunk,310,15,10,0.05
chunk04,draft_frequency_per_chunk,88,4,10,0.05
chunk04,qk_frequency_per_chunk,88,4,10,0.05
chunk04,hybrid_draft70_qk30_score_per_chunk,88,4,10,0.05
chunk04,hybrid_draft50_qk50_score_per_chunk,88,4,10,0.05
chunk05,draft_frequency_per_chunk,123,6,10,0.05
chunk05,qk_frequency_per_chunk,123,6,10,0.05
chunk05,hybrid_draft70_qk30_score_per_chunk,123,6,10,0.05
chunk05,hybrid_draft50_qk50_score_per_chunk,123,6,10,0.05
chunk06,draft_frequency_per_chunk,89,4,10,0.05
chunk06,qk_frequency_per_chunk,89,4,10,0.05
chunk06,hybrid_draft70_qk30_score_per_chunk,89,4,10,0.05
chunk06,hybrid_draft50_qk50_score_per_chunk,89,4,10,0.05
chunk07,draft_frequency_per_chunk,117,5,10,0.05
chunk07,qk_frequency_per_chunk,117,5,10,0.05
chunk07,hybrid_draft70_qk30_score_per_chunk,117,5,10,0.05
chunk07,hybrid_draft50_qk50_score_per_chunk,117,5,10,0.05
chunk08,draft_frequency_per_chunk,68,3,10,0.05
