example_id,chunk_id,method,chunk_len,selected_count,mean_score_selected
5,18,lexical_idf_entity_boundary_per_chunk,166,24,11.471176224655531
6,0,lexical_entity_number_per_chunk,183,27,4.037037037037037
6,0,lexical_idf_entity_per_chunk,183,27,9.626250607014581
6,0,lexical_idf_entity_boundary_per_chunk,183,27,10.0677269018543
6,1,lexical_entity_number_per_chunk,84,12,2.8958333333333335
6,1,lexical_idf_entity_per_chunk,84,12,9.141440800784293
6,1,lexical_idf_entity_boundary_per_chunk,84,12,9.72714905223765
6,2,lexical_entity_number_per_chunk,154,23,3.358695652173913
6,2,lexical_idf_entity_per_chunk,154,23,8.940066675303083
6,2,lexical_idf_entity_boundary_per_chunk,154,23,9.147234284727038
6,3,lexical_entity_number_per_chunk,244,36,3.5833333333333335
6,3,lexical_idf_entity_per_chunk,244,36,9.152138680328965
6,3,lexical_idf_entity_boundary_per_chunk,244,36,9.450255029576361
6,4,lexical_entity_number_per_chunk,86,12,4.0625
6,4,lexical_idf_entity_per_chunk,86,12,10.555965340962622
6,4,lexical_idf_entity_boundary_per_chunk,86,12,10.753478089776088
6,5,lexical_entity_number_per_chunk,49,7,3.142857142857143
6,5,lexical_idf_entity_per_chunk,49,7,9.365609330212132
6,5,lexical_idf_entity_boundary_per_chunk,49,7,10.356179345636813
6,6,lexical_entity_number_per_chunk,203,30,3.933333333333333
6,6,lexical_idf_entity_per_chunk,203,30,9.68758356738663
6,6,lexical_idf_entity_boundary_per_chunk,203,30,10.038786737778242
6,7,lexical_entity_number_per_chunk,140,21,4.107142857142857
6,7,lexical_idf_entity_per_chunk,140,21,10.000264871700779
6,7,lexical_idf_entity_boundary_per_chunk,140,21,10.644963491115297
6,8,lexical_entity_number_per_chunk,113,16,4.046875
6,8,lexical_idf_entity_per_chunk,113,16,10.432246047039518
6,8,lexical_idf_entity_boundary_per_chunk,113,16,10.89933275940809
6,9,lexical_entity_number_per_chunk,148,22,3.727272727272727
6,9,lexical_idf_entity_per_chunk,148,22,9.98007250520369
6,9,lexical_idf_entity_boundary_per_chunk,148,22,10.452453741694233
7,0,lexical_entity_number_per_chunk,154,23,3.358695652173913
7,0,lexical_idf_entity_per_chunk,154,23,8.940066675303083
7,0,lexical_idf_entity_boundary_per_chunk,154,23,9.147234284727038
7,1,lexical_entity_number_per_chunk,84,12,2.8958333333333335
7,1,lexical_idf_entity_per_chunk,84,12,9.141440800784293
7,1,lexical_idf_entity_boundary_per_chunk,84,12,9.72714905223765
7,2,lexical_entity_number_per_chunk,152,22,4.068181818181818
7,2,lexical_idf_entity_per_chunk,152,22,10.437592636733758
7,2,lexical_idf_entity_boundary_per_chunk,152,22,10.764860706389586
7,3,lexical_entity_number_per_chunk,254,38,4.059210526315789
7,3,lexical_idf_entity_per_chunk,254,38,9.576021169829698
7,3,lexical_idf_entity_boundary_per_chunk,254,38,9.812030301796463
7,4,lexical_entity_number_per_chunk,49,7,3.142857142857143
7,4,lexical_idf_entity_per_chunk,49,7,9.365609330212132
7,4,lexical_idf_entity_boundary_per_chunk,49,7,10.356179345636813
7,5,lexical_entity_number_per_chunk,203,30,3.933333333333333
7,5,lexical_idf_entity_per_chunk,203,30,9.68758356738663
7,5,lexical_idf_entity_boundary_per_chunk,203,30,10.038786737778242
7,6,lexical_entity_number_per_chunk,37,5,4.0
7,6,lexical_idf_entity_per_chunk,37,5,10.46913950909114
7,6,lexical_idf_entity_boundary_per_chunk,37,5,11.350115888138145
7,7,lexical_entity_number_per_chunk,183,27,4.037037037037037
7,7,lexical_idf_entity_per_chunk,183,27,9.626250607014581
7,7,lexical_idf_entity_boundary_per_chunk,183,27,10.0677269018543
7,8,lexical_entity_number_per_chunk,244,36,3.5833333333333335
7,8,lexical_idf_entity_per_chunk,244,36,9.152138680328965
7,8,lexical_idf_entity_boundary_per_chunk,244,36,9.450255029576361
7,9,lexical_entity_number_per_chunk,227,34,4.0661764705882355
7,9,lexical_idf_entity_per_chunk,227,34,9.458640482110994
7,9,lexical_idf_entity_boundary_per_chunk,227,34,9.740031329484136
7,10,lexical_entity_number_per_chunk,86,12,4.0625
7,10,lexical_idf_entity_per_chunk,86,12,10.555965340962622
7,10,lexical_idf_entity_boundary_per_chunk,86,12,10.753478089776088
7,11,lexical_entity_number_per_chunk,140,21,4.107142857142857
7,11,lexical_idf_entity_per_chunk,140,21,10.000264871700779
7,11,lexical_idf_entity_boundary_per_chunk,140,21,10.644963491115297
7,12,lexical_entity_number_per_chunk,42,6,4.625
