example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_status,status
155,18,docgen_draft_smart_frequency_global,0.2,140,28,32,ok,
156,0,docgen_draft_smart_frequency_global,0.1,51,5,32,ok,
156,0,docgen_draft_smart_frequency_global,0.15,51,7,32,ok,
156,0,docgen_draft_smart_frequency_global,0.2,51,10,32,ok,
156,1,docgen_draft_smart_frequency_global,0.1,161,16,32,ok,
156,1,docgen_draft_smart_frequency_global,0.15,161,24,32,ok,
156,1,docgen_draft_smart_frequency_global,0.2,161,32,32,ok,
156,2,docgen_draft_smart_frequency_global,0.1,100,10,32,ok,
156,2,docgen_draft_smart_frequency_global,0.15,100,15,32,ok,
156,2,docgen_draft_smart_frequency_global,0.2,100,20,32,ok,
156,3,docgen_draft_smart_frequency_global,0.1,55,5,32,ok,
156,3,docgen_draft_smart_frequency_global,0.15,55,8,32,ok,
156,3,docgen_draft_smart_frequency_global,0.2,55,11,32,ok,
156,4,docgen_draft_smart_frequency_global,0.1,95,9,32,ok,
156,4,docgen_draft_smart_frequency_global,0.15,95,14,32,ok,
156,4,docgen_draft_smart_frequency_global,0.2,95,19,32,ok,
156,5,docgen_draft_smart_frequency_global,0.1,78,7,32,ok,
156,5,docgen_draft_smart_frequency_global,0.15,78,11,32,ok,
156,5,docgen_draft_smart_frequency_global,0.2,78,15,32,ok,
156,6,docgen_draft_smart_frequency_global,0.1,95,9,32,ok,
156,6,docgen_draft_smart_frequency_global,0.15,95,14,32,ok,
156,6,docgen_draft_smart_frequency_global,0.2,95,19,32,ok,
156,7,docgen_draft_smart_frequency_global,0.1,42,4,32,ok,
156,7,docgen_draft_smart_frequency_global,0.15,42,6,32,ok,
156,7,docgen_draft_smart_frequency_global,0.2,42,8,32,ok,
156,8,docgen_draft_smart_frequency_global,0.1,127,12,32,ok,
156,8,docgen_draft_smart_frequency_global,0.15,127,19,32,ok,
156,8,docgen_draft_smart_frequency_global,0.2,127,25,32,ok,
156,9,docgen_draft_smart_frequency_global,0.1,241,24,32,ok,
156,9,docgen_draft_smart_frequency_global,0.15,241,36,32,ok,
156,9,docgen_draft_smart_frequency_global,0.2,241,48,32,ok,
156,10,docgen_draft_smart_frequency_global,0.1,61,6,32,ok,
156,10,docgen_draft_smart_frequency_global,0.15,61,9,32,ok,
156,10,docgen_draft_smart_frequency_global,0.2,61,12,32,ok,
156,11,docgen_draft_smart_frequency_global,0.1,135,13,32,ok,
156,11,docgen_draft_smart_frequency_global,0.15,135,20,32,ok,
156,11,docgen_draft_smart_frequency_global,0.2,135,27,32,ok,
156,12,docgen_draft_smart_frequency_global,0.1,120,12,32,ok,
156,12,docgen_draft_smart_frequency_global,0.15,120,18,32,ok,
