example_id,sub_idx,doc_len,query_len,selected_count,key_relative_l2,value_relative_l2,value_over_key_relative_l2,key_cosine,value_cosine,key_token_rel_mean,value_token_rel_mean,key_token_rel_p90,value_token_rel_p90,key_diff_norm,value_diff_norm
58,0,1959,22,175,0.17003892362117767,0.8907809257507324,5.2386883354426885,0.9859209656715393,0.6428062915802002,0.16942192614078522,0.9523959159851074,0.18979133665561676,1.6191182136535645,2559.9638671875,1730.6759033203125
59,0,1935,21,171,0.17297078669071198,0.9443202614784241,5.459420515682211,0.9853905439376831,0.6053215861320496,0.17239102721214294,1.0350196361541748,0.19294942915439606,1.7640485763549805,2574.58935546875,1793.9273681640625
59,1,1974,25,177,0.17013850808143616,0.9197105765342712,5.405657936583348,0.9859442710876465,0.6258540153503418,0.16961535811424255,0.9891583919525146,0.18791083991527557,1.7293415069580078,2575.37060546875,1779.1890869140625
60,0,2078,23,192,0.1683967113494873,0.7831918001174927,4.6508734869971455,0.9863446354866028,0.7104800939559937,0.16789011657238007,0.8341372013092041,0.18462425470352173,1.480713129043579,2654.53271484375,1706.201904296875
60,1,1849,43,158,0.17087754607200623,0.8254066705703735,4.830398665824264,0.9857232570648193,0.677837073802948,0.17035788297653198,0.8677579760551453,0.18749406933784485,1.4083452224731445,2443.67529296875,1706.444091796875
61,0,2024,28,184,0.17219315469264984,0.9151394367218018,5.314609853974354,0.9856334328651428,0.6170759201049805,0.17165370285511017,0.9669785499572754,0.18735547363758087,1.620884656906128,2658.018310546875,1914.55078125
61,1,2755,29,294,0.16983148455619812,0.8361093401908875,4.923170414313203,0.9862582087516785,0.6763078570365906,0.1692366898059845,0.8747435212135315,0.18876276910305023,1.6047552824020386,3313.5146484375,2170.5576171875
64,0,2264,23,220,0.16589945554733276,0.81179279088974,4.8932818266738325,0.9867867231369019,0.700630247592926,0.16537772119045258,0.8568622469902039,0.18338826298713684,1.5089696645736694,2799.591552734375,1762.6671142578125
64,1,1628,25,125,0.17122645676136017,0.9948480725288391,5.810130579934604,0.9856386184692383,0.5723209977149963,0.17068997025489807,1.0865907669067383,0.18749259412288666,1.875518560409546,2176.85595703125,1614.116943359375
65,0,1703,27,136,0.1703585386276245,0.877997636795044,5.153822308308521,0.9857705235481262,0.6473847031593323,0.16970722377300262,0.9120407104492188,0.18787699937820435,1.5115207433700562,2259.93701171875,1527.8463134765625
65,1,1887,27,164,0.17259515821933746,0.9672397971153259,5.604095775853304,0.985442578792572,0.5802004933357239,0.17206129431724548,1.0547736883163452,0.1896604597568512,1.757882833480835,2514.77001953125,1800.8975830078125
